NarrativeName,shakespeare,dickens,cbronte,conandoyle,poe,martin,saki,ohenry,brown,jkj
"Twelfth Night, or What You Will","If music be the food of love, play on. Give me excess of it, that, surfeiting, the appetite may sicken and so die. That strain again! It had a dying fall. O, it came o'er my ear like the sweet sound that breathes upon a bank of violets, stealing and giving odor. Enough; no more.'Tis not so sweet now as it was before.","If music be the sustenance of affection, continue playing. Give me an abundance of it, that, in overindulgence, the craving may wane and eventually perish. That tune once more! It had a melancholic descent. Oh, it arrived at my ear like the gentle whisper that caresses a bed of violets, pilfering and bestowing fragrance. Enough; no more. It is not as delightful now as it was previously.","If music is the nourishment of love, let it continue. Allow me an excess of it, that, in surfeit, the desire may wane and thus expire. That melody once again! It had a sorrowful decline. Oh, it reached my ear like the gentle murmur that breathes upon a cluster of violets, subtly taking and giving scent. Enough; no more. It is not as sweet now as it was before.","If music be the sustenance of affection, then continue. Provide me with an abundance of it, so that, in overindulgence, the desire may wane and thus perish. That tune again! It had a melancholic decline. Oh, it reached my ear like the gentle murmur that breathes upon a cluster of violets, subtly taking and giving fragrance. Enough; no more. It is not as delightful now as it was previously.","If music be the sustenance of passion, play on. Give me excess of it, that, in overindulgence, the yearning may sicken and thus perish. That strain once more! It had a spectral fall. Ah, it glided o’er my ear like the dulcet tones that breathe upon a bank of violets, pilfering and bestowing their ghostly essence. Enough; no more. It is not as enchanting now as it once was.","If music be the sustenance of love, then let it play on. Give me an excess of it, that, in overindulgence, the craving may wane and thus die. That tune again! It had a sorrowful fall. Ah, it drifted o’er my ear like the sweet sound that whispers upon a bank of violets, stealing and giving scent. Enough; no more. It is not as sweet now as it was before.","If music be the sustenance of love, then let it continue. Provide me with an excess of it, that, in overindulgence, the appetite may sicken and thus expire. That melody again! It had a dying cadence. Oh, it reached my ear like the sweet sound that breathes upon a bed of violets, stealing and bestowing fragrance. Enough; no more. It is not as delightful now as it once was.","If music be the sustenance of love, play on. Give me an excess of it, that, in surfeit, the appetite may sicken and so perish. That tune again! It had a fading fall. Ah, it came over my ear like the sweet sound that whispers upon a bank of violets, stealing and giving fragrance. Enough; no more. It is not as sweet now as it was before.","If music is the nourishment of love, let it continue. Allow me an excess of it, that, in surfeit, the desire may wane and thus expire. That melody once again! It had a sorrowful decline. Oh, it reached my ear like the gentle murmur that breathes upon a cluster of violets, subtly taking and giving scent. Enough; no more. It is not as sweet now as it was before.","If music be the sustenance of love, then play on. Give me an excess of it, that, in overindulgence, the appetite may sicken and thus die. That strain once more! It had a dying fall. Oh, it came over my ear like the sweet sound that breathes upon a bed of violets, pilfering and bestowing fragrance. Enough; no more. It is not as delightful now as it was before."
"Twelfth Night, or What You Will","If music be the food of love, play on. Give me excess of it, that, surfeiting, the appetite may sicken and so die. That strain again! It had a dying fall. O, it came o'er my ear like the sweet sound that breathes upon a bank of violets, stealing and giving odor. Enough; no more.'Tis not so sweet now as it was before.","If music be the sustenance of affection, continue to play. Let me have it in abundance, so that, in overindulgence, the desire may become nauseated and perish. That melody again! It had a waning cadence. Oh, it arrived at my ear like the gentle whisper that caresses a bed of violets, borrowing and bestowing fragrance. Enough; no more. It is not as delightful now as it was before.","If music is indeed the nourishment of love, let it play on. Grant me an excess of it, so that, in its overabundance, the craving may grow faint and thus expire. That tune again! It had a melancholic descent. Oh, it came over my ear like the sweet murmur that drifts across a bed of violets, taking and giving scent. Enough; no more. It is not as sweet now as it once was.","If music serves as the sustenance of love, let it continue. Provide me with an excess of it, that, in its surfeit, the appetite may wane and thereby expire. That strain again! It had a descending tone. Ah, it crossed my ear like the delicate sound that breathes upon a bed of violets, pilfering and dispensing aroma. Enough; no more. It is not as pleasant now as it was before.","If music be the sustenance of love, then play on. Give me an excess of it, that, in its surfeit, the appetite may grow ill and thus perish. That strain again! It had a melancholic cadence. Oh, it came upon my ear like the sweet sound that whispers over a bank of violets, stealing and bestowing odor. Enough; no more. ’Tis not so sweet now as it was before.","If music be the nourishment of love, play on. Give me excess of it, that, in its surfeit, the appetite may sicken and die. That tune again! It had a somber fall. Oh, it came over my ear like the sweet sound that sweeps across a bank of violets, stealing and giving scent. Enough; no more. It is not as sweet now as it was before.","If music be the sustenance of love, continue. Give me an abundance of it, that, in its excess, the appetite may grow nauseated and thus perish. That strain again! It had a languid fall. Oh, it came over my ear like the delicate sound that whispers upon a bed of violets, thieving and bestowing fragrance. Enough; no more. It is not as delightful now as it was before.","If music be the nourishment of love, let it continue to play. Give me an overabundance, that, surfeited, the desire may sicken and thus die. That melody again! It had a fading note. Oh, it came over my ear like the sweet sound that breathes upon a bed of violets, stealing and giving scent. Enough; no more. It’s not as sweet now as it was before.","If music is indeed the nourishment of love, let it play on. Grant me an excess of it, so that, in its overabundance, the craving may grow faint and thus expire. That tune again! It had a melancholic descent. Oh, it came over my ear like the sweet murmur that drifts across a bed of violets, taking and giving scent. Enough; no more. It is not as sweet now as it once was.","If music be the food of love, play on. Give me an overabundance of it, that, surfeiting, the appetite may grow sick and die. That strain again! It had a dying fall. Oh, it came over my ear like the sweet sound that breathes upon a bed of violets, stealing and giving odor. Enough; no more. It isn’t as sweet now as it was before."
"Twelfth Night, or What You Will","If music be the food of love, play on. Give me excess of it, that, surfeiting, the appetite may sicken and so die. That strain again! It had a dying fall. O, it came o'er my ear like the sweet sound that breathes upon a bank of violets, stealing and giving odor. Enough; no more.'Tis not so sweet now as it was before.","If music be the sustenance of affection, continue the melody. Overwhelm me with it, that, by indulging in abundance, the desire may falter and thus perish. That note again! It had a melancholic cadence. Ah, it graced my ear like the gentle murmur that whispers over a bed of violets, purloining and bestowing fragrance. Enough; no further. It is not as delightful now as it was aforetime.","If music is the nourishment of passion, let it persist. Grant me an excess of it, that, by overwhelming, the craving may languish and thus expire. That melody once more! It had a poignant descent. Oh, it touched my ear like the tender murmur that wafts across a bed of violets, subtly taking and giving scent. No more; it suffices. It is not as entrancing now as it was before.","If music be the sustenance of love, proceed. Allow me an abundance of it, that, in satiation, the desire may wane and thus be extinguished. That refrain again! It possessed a melancholic descent. Ah, it traversed my ear like the gentle note that whispers over a bed of violets, discreetly acquiring and imparting aroma. Enough; cease. It is not as pleasant now as it was previously.","If music be the sustenance of love, let it endure. Let me be inundated with it, that, in excess, the longing may weaken and thus perish. That note once more! It had a spectral decline. Oh, it whispered to my ear like the ghostly sound that breathes upon a bed of violets, stealing and imparting scent. Enough; no further. It is not as ethereal now as it was erstwhile.","If music be the nourishment of love, let it continue. Drown me in it, that, by excess, the craving may falter and thus perish. That note again! It had a somber descent. Ah, it swept over my ear like the gentle sound that whispers across a field of violets, taking and giving fragrance. Enough; no more. It is not as sweet now as it was before.","If music be the sustenance of love, carry on. Give me an excess of it, that, in overindulgence, the appetite may falter and thus perish. That strain again! It had a wistful fall. Oh, it drifted over my ear like the delicate sound that breathes upon a cluster of violets, subtly stealing and giving scent. Enough; no more. It is not as delightful now as it was before.","If music be the nourishment of love, let it continue. Give me an excess of it, that, by indulgence, the desire may wane and thus fade away. That tune again! It had a languid fall. Oh, it caressed my ear like the gentle sound that breathes upon a bed of violets, borrowing and giving fragrance. Enough; no more. It is not as sweet now as it was before.","If music is the nourishment of passion, let it persist. Grant me an excess of it, that, by overwhelming, the craving may languish and thus expire. That melody once more! It had a poignant descent. Oh, it touched my ear like the tender murmur that wafts across a bed of violets, subtly taking and giving scent. No more; it suffices. It is not as entrancing now as it was before.","If music be the sustenance of love, continue. Give me an abundance of it, that, in excess, the appetite may sicken and thus fade away. That note again! It had a melancholy cadence. Oh, it floated to my ear like the sweet sound that breathes upon a bank of violets, subtly stealing and giving scent. Enough; no more. It is not as delightful now as it was before."
"Twelfth Night, or What You Will","If music be the food of love, play on. Give me excess of it, that, surfeiting, the appetite may sicken and so die. That strain again! It had a dying fall. O, it came o'er my ear like the sweet sound that breathes upon a bank of violets, stealing and giving odor. Enough; no more.'Tis not so sweet now as it was before.","If music be the nourishment of love, then let it continue. Give me an abundance of it, that, in its excess, the desire may weaken and perish. That melody again! It had a sorrowful descent. Oh, it swept over my ear like the gentle sound that whispers over a bed of violets, pilfering and bestowing fragrance. Enough; no more. ’Tis not as sweet now as it was before.","If music be the sustenance of love, let it play on. Give me an overabundance, that, in its fullness, the craving may become repulsive and thus expire. That strain again! It had a melancholy fall. Oh, it came over my ear like the delicate sound that breathes upon a bank of violets, stealing and imparting fragrance. Enough; no more. It is not as sweet now as it was before.","If music is the nourishment of love, play on. Give me excess of it, that, overindulging, the appetite may become jaded and so perish. That strain again! It had a somber fall. Oh, it came over my ear like the sweet sound that breathes upon a bed of violets, stealing and giving scent. Enough; no more. It is not so sweet now as it was before.","If music be the sustenance of love, play on. Give me an excess of it, that, surfeiting, the appetite may sicken and so die. That strain again! It had a dying fall. Oh, it came over my ear like the ethereal sound that whispers upon a bank of violets, purloining and bestowing odor. Enough; no more. ’Tis not so sweet now as it was before.","If music be the sustenance of love, let it play on. Give me an overabundance, that, in its surplus, the desire may become ill and perish. That strain again! It had a somber decline. Oh, it came over my ear like the sweet sound that breathes upon a bed of violets, stealing and giving fragrance. Enough; no more. It is not as sweet now as it was before.","If music be the nourishment of love, play on. Give me an excess of it, that, gorging, the appetite may sicken and die. That melody again! It had a morose fall. Oh, it swept over my ear like the sweet sound that breathes upon a bank of violets, filching and bestowing fragrance. Enough; no more. ’Tis not so sweet now as it was before.","If music be the sustenance of love, let it continue. Give me an excess of it, that, overfilled, the appetite may sicken and thus fade. That strain again! It had a poignant fall. Oh, it came over my ear like the sweet sound that wafts upon a bed of violets, stealing and giving scent. Enough; no more. It’s not as sweet now as it was before.","If music be the sustenance of love, let it play on. Give me an overabundance, that, in its fullness, the craving may become repulsive and thus expire. That strain again! It had a melancholy fall. Oh, it came over my ear like the delicate sound that breathes upon a bank of violets, stealing and imparting fragrance. Enough; no more. It is not as sweet now as it was before.","If music be the nourishment of love, let it play on. Give me an excess of it, that, glutted, the appetite may become ill and so perish. That strain again! It had a languishing fall. Oh, it came over my ear like the sweet sound that breathes upon a bed of violets, pilfering and giving odor. Enough; no more. It’s not as sweet now as it was before."
"Twelfth Night, or What You Will","If music be the food of love, play on. Give me excess of it, that, surfeiting, the appetite may sicken and so die. That strain again! It had a dying fall. O, it came o'er my ear like the sweet sound that breathes upon a bank of violets, stealing and giving odor. Enough; no more.'Tis not so sweet now as it was before.","If music be the nourishment of love, then let it play on. Overwhelm me with it, that, being glutted, the appetite may grow ill and so perish. That tune again! It had a faltering cadence. Oh, it wafted to my ear like the gentle sound that whispers over a bed of violets, taking and giving fragrance. Enough; no more. It is not so delightful now as it once was.","If music be the sustenance of love, continue to play. Give me an abundance of it, that, being satiated, the appetite may weaken and thus fade away. That melody again! It had a melancholic fall. Oh, it drifted to my ear like the tender sound that lingers over a bank of violets, absorbing and exhaling scent. Enough; no more. It is not as sweet now as it once seemed.","If music be the sustenance of love, let it play on. Provide me with an excess of it, that, being overindulged, the appetite may falter and thus expire. That tune again! It had a descending note. Ah, it reached my ear like the sweet resonance that drifts over a bed of violets, capturing and releasing fragrance. Enough; no more. It lacks the sweetness it once held.","If music be the sustenance of love, play on. Give me an overabundance of it, that, satiated, the appetite may grow ill and thus perish. That strain again! It had a descending sorrow. Oh, it drifted to my ear like the sweet sound that breathes upon a bank of violets, stealing and giving odor. Enough; no more. It is not so sweet now as it was before.","If music be the nourishment of love, let it play on. Drown me in it, that, overwhelmed, the appetite may falter and so die. That strain again! It had a dying cadence. Oh, it swept over my ear like the sweet sound that dances upon a bank of violets, taking and giving fragrance. Enough; no more. It is not so sweet now as it once was.","If music be the sustenance of love, let it continue. Give me an excess of it, that, being overfed, the appetite may wane and thus die. That melody again! It had a fading cadence. Oh, it came to my ear like the sweet sound that drifts over a bank of violets, capturing and releasing scent. Enough; no more. It is not as sweet now as it once was.","If music be the food of love, let it keep playing. Give me an overflow of it, that, overindulged, the appetite may sicken and thus perish. That tune again! It had a dying lilt. Ah, it reached my ear like the sweet sound that wafts over a bed of violets, stealing and giving fragrance. Enough; no more. It isn’t as sweet now as it once was.","If music be the sustenance of love, continue to play. Give me an abundance of it, that, being satiated, the appetite may weaken and thus fade away. That melody again! It had a melancholic fall. Oh, it drifted to my ear like the tender sound that lingers over a bank of violets, absorbing and exhaling scent. Enough; no more. It is not as sweet now as it once seemed.","If music be the sustenance of love, then let it play on. Overwhelm me with it, that, being surfeited, the appetite may grow weary and thus fade. That strain again! It had a wistful fall. Ah, it came over my ear like the gentle sound that dances upon a bank of violets, capturing and releasing scent. Enough; no more. It isn’t quite as sweet now as it once was."
"Twelfth Night, or What You Will","If music be the food of love, play on. Give me excess of it, that, surfeiting, the appetite may sicken and so die. That strain again! It had a dying fall. O, it came o'er my ear like the sweet sound that breathes upon a bank of violets, stealing and giving odor. Enough; no more.'Tis not so sweet now as it was before.","If music be the sustenance of love, continue playing. Overwhelm me with it, that, surfeiting, the appetite may wane and so perish. That melody again! It had a melancholic descent. Oh, it drifted over my ear like the sweet sound that wafts upon a bed of violets, pilfering and bestowing fragrance. Enough; no more. It is not so sweet now as it once was.","If music be the essence of love, play on. Give me an excess of it, that, overindulged, the appetite may sicken and thus die. That strain again! It had a mournful fall. Oh, it came o’er my ear like the sweet sound that breathes upon a bank of violets, stealing and giving odor. Enough; no more. ’Tis not so sweet now as it was before.","If music be the sustenance of love, then continue. Give me an abundance of it, that, by overindulgence, the appetite may sicken and thus perish. That tune again! It had a melancholic descent. Ah, it drifted over my ear like the sweet sound that breathes upon a bed of violets, surreptitiously exchanging odors. Enough; no more. It is not as sweet now as it was before.","If music be the sustenance of love, play on. Give me excess of it, that, surfeiting, the appetite may sicken and so die. That strain again! It had a moribund fall. Ah, it came o’er my ear like the sweet sound that breathes upon a bank of violets, thieving and giving odor. Enough; no more. It is not so sweet now as it was before.","If music be the food of love, then play on. Give me excess of it, that, surfeiting, the appetite may sicken and so die. That strain again! It had a dying fall. Oh, it came over my ear like the sweet sound that breathes upon a bank of violets, stealing and giving odor. Enough; no more. It is not as sweet now as it was before.","If music be the nourishment of love, continue playing. Overwhelm me with it, that, surfeited, the appetite may sicken and thus perish. That melody again! It had a dying cadence. Ah, it came over my ear like the sweet sound that drifts upon a bed of violets, pilfering and bestowing fragrance. Enough; no more. It is not as sweet now as it was before.","If music be the food of love, keep playing. Give me an excess of it, that, surfeiting, the appetite may sicken and thus expire. That tune again! It had a dying fall. Oh, it came over my ear like the sweet sound that drifts upon a bank of violets, stealing and giving fragrance. Enough; no more. It is not as sweet now as it was before.","If music be the essence of love, play on. Give me an excess of it, that, overindulged, the appetite may sicken and thus die. That strain again! It had a mournful fall. Oh, it came o’er my ear like the sweet sound that breathes upon a bank of violets, stealing and giving odor. Enough; no more. ’Tis not so sweet now as it was before.","If music be the food of love, continue playing. Give me an excess of it, that, overindulging, the appetite may sicken and thus die. That strain again! It had a mournful decline. Oh, it came over my ear like the sweet sound that breathes upon a bank of violets, pilfering and giving fragrance. Enough; no more. It is not as sweet now as it was before."
"Twelfth Night, or What You Will","If music be the food of love, play on. Give me excess of it, that, surfeiting, the appetite may sicken and so die. That strain again! It had a dying fall. O, it came o'er my ear like the sweet sound that breathes upon a bank of violets, stealing and giving odor. Enough; no more.'Tis not so sweet now as it was before.","If music be the sustenance of affection, let it continue. Let me have an abundance of it, that, in overindulgence, the desire may falter and eventually perish. That melody once more! It had a melancholy descent. Oh, it touched my ear like the gentle sound that whispers upon a bed of violets, filching and bestowing fragrance. Enough; no further. It is not so delightful now as it was before.","If music is the nourishment of passion, let it play on. Let me have it in excess, so that, by overindulgence, the desire may fade and ultimately die. That melody again! It had a fading sweetness. Oh, it passed over my ear like the gentle sound that breathes upon a bank of violets, stealing and giving fragrance. Enough; no more. It is not as sweet now as it was before.","If music is the sustenance of love, then continue playing. Give me an abundance of it, so that, in overindulgence, the craving may weaken and perish. That strain again! It had a descending fall. Ah, it passed over my ear like the pleasant sound that wafts over a bed of violets, purloining and bestowing scent. Enough; no more. It does not possess the same sweetness now as it did before.","If music be the sustenance of love, play on. Let me have excess of it, that, overindulging, the desire may sicken and thus die. That strain again! It had a haunting fall. Oh, it came upon my ear like the ethereal sound that breathes upon a bed of violets, stealing and giving odor. Enough; no more. ’Tis not so sweet now as it was before.","If music be the nourishment of love, then play on. Give me an excess of it, that, surfeiting, the appetite may sicken and thus perish. That tune again! It had a dying cadence. Oh, it came over my ear like the sweet sound that breathes upon a bank of violets, stealing and giving scent. Enough; no more. It is not so sweet now as it was before.","If music be the sustenance of love, play on. Give me an abundance of it, that, overindulging, the desire may sicken and thus die. That melody again! It had a dying cadence. Oh, it came over my ear like the sweet sound that breathes upon a bed of violets, purloining and bestowing fragrance. Enough; no more. It is not so sweet now as it was before.","If music be the nourishment of love, keep playing. Give me an excess of it, that, surfeiting, the appetite may sicken and die. That tune again! It had a dying fall. Oh, it drifted to my ear like the sweet sound that breathes upon a bed of violets, stealing and giving scent. Enough; no more. It’s not as sweet now as it was before.","If music is the nourishment of passion, let it play on. Let me have it in excess, so that, by overindulgence, the desire may fade and ultimately die. That melody again! It had a fading sweetness. Oh, it passed over my ear like the gentle sound that breathes upon a bank of violets, stealing and giving fragrance. Enough; no more. It is not as sweet now as it was before.","If music be the sustenance of love, play on. Give me an abundance of it, that, overindulging, the desire may sicken and thus die. That strain again! It had a dying fall. Oh, it came over my ear like the sweet sound that breathes upon a bed of violets, pilfering and bestowing scent. Enough; no more. It’s not so sweet now as it was before."
"Twelfth Night, or What You Will","If music be the food of love, play on. Give me excess of it, that, surfeiting, the appetite may sicken and so die. That strain again! It had a dying fall. O, it came o'er my ear like the sweet sound that breathes upon a bank of violets, stealing and giving odor. Enough; no more.'Tis not so sweet now as it was before.","If music be the sustenance of love, continue your melody. Allow me an abundance of it, that, in overindulgence, my appetite might wane and ultimately perish. That tune again! It possessed a waning cadence. Oh, it graced my ear like the sweet sound that breathes upon a bed of violets, purloining and dispensing fragrance. Enough; no more. It lacks the sweetness it once held.","If music be the nourishment of love, play on. Indulge me excessively, that, in my surfeit, the appetite may sicken and thus expire. That note again! It had a fading resonance. Oh, it drifted o’er my ear like the sweet sound that breathes upon a bank of violets, pilfering and bestowing scent. Enough; no more. It is not as sweet now as it was before.","If music be the sustenance of love, continue your performance. Give me an excess of it, so that, in my surfeit, the appetite may falter and thus perish. That note again! It had a fading resonance. Ah, it wafted o’er my ear like the sweet sound that breathes upon a bank of violets, stealing and imparting fragrance. Enough; no more. It is not as sweet now as it was before.","If music be the sustenance of love, play on. Give me an excess of it, that, overindulged, the appetite may sicken and thus perish. That strain again! It possessed a dying fall. Ah, it came o’er my ear like the sweet sound that breathes upon a bank of violets, purloining and dispensing odor. Enough; no more. It is not so sweet now as it was before.","If music be the sustenance of love, play on. Give me excess of it, that, overindulging, the appetite may sicken and thus die. That strain again! It had a dying fall. Ah, it came o’er my ear like the sweet sound that breathes upon a bank of violets, stealing and giving scent. Enough; no more. It is not so sweet now as it was before.","If music be the sustenance of love, continue playing. Give me an excess of it, that, in my surfeit, the appetite may sicken and thus die. That melody again! It had a dying fall. Ah, it drifted o’er my ear like the sweet sound that breathes upon a bank of violets, pilfering and bestowing fragrance. Enough; no more. It is not as sweet now as it was before.","If music be the sustenance of love, play on. Give me an excess of it, that, in my surfeit, the appetite may sicken and thus perish. That strain again! It had a waning fall. Ah, it came o’er my ear like the sweet sound that breathes upon a bank of violets, stealing and giving odor. Enough; no more. It is not so sweet now as it was before.","If music be the nourishment of love, play on. Indulge me excessively, that, in my surfeit, the appetite may sicken and thus expire. That note again! It had a fading resonance. Oh, it drifted o’er my ear like the sweet sound that breathes upon a bank of violets, pilfering and bestowing scent. Enough; no more. It is not as sweet now as it was before.","If music be the sustenance of love, continue. Give me an excess of it, that, in my overindulgence, the appetite may wane and thus die. That strain again! It had a dying fall. Ah, it came o’er my ear like the sweet sound that breathes upon a bank of violets, surreptitiously stealing and giving odor. Enough; no more. It is not so sweet now as it was before."
"Twelfth Night, or What You Will","If music be the food of love, play on. Give me excess of it, that, surfeiting, the appetite may sicken and so die. That strain again! It had a dying fall. O, it came o'er my ear like the sweet sound that breathes upon a bank of violets, stealing and giving odor. Enough; no more.'Tis not so sweet now as it was before.","If music be the sustenance of love, continue. Bestow upon me an abundance, that, surfeiting, the craving may grow weary and thus perish. That melody once more! It had a fading cadence. Oh, it enveloped my ear like the gentle sound that wafts upon a bed of violets, borrowing and bestowing fragrance. Enough; no further. It is not as delightful now as it was before.","If music is the nourishment of love, play on. Let me have a surfeit of it, that, surfeiting, the longing may become sick and so perish. That note again! It had a dying fall. Ah, it came over my ear like the sweet murmur that breathes upon a bank of violets, stealing and giving scent. Enough; no more. It is not so sweet now as it was before.","If music be the sustenance of love, play on. Give me an overabundance of it, that, surfeiting, the desire may sicken and thus die. That tune again! It had a melancholic decline. Ah, it swept over my ear like the gentle sound that whispers upon a bed of violets, pilfering and bestowing fragrance. Enough; no more. It is not as exquisite now as it was before.","If music be the sustenance of love, continue. Bestow upon me a surfeit of it, that, surfeiting, the yearning may become ill and thus perish. That melody again! It had a dying cadence. Oh, it enveloped my ear like the sweet echo that breathes upon a bank of violets, thieving and bestowing odor. Enough; no more. It is not so sweet now as it was before.","If music be the sustenance of love, play on. Give me an excess of it, that, surfeiting, the desire may grow weak and thus perish. That strain again! It had a dying fall. Ah, it swept over my ear like the sweet sound that whispers upon a bed of violets, pilfering and granting scent. Enough; no more. It is not as sweet now as it was before.","If music be the nourishment of love, play on. Give me an excess of it, that, surfeiting, the appetite may grow weary and thus expire. That strain again! It had a dying fall. Oh, it swept over my ear like the sweet sound that breathes upon a bed of violets, stealing and granting odor. Enough; no more. It is not so sweet now as it was before.","If music be the sustenance of love, play on. Give me an overabundance of it, that, surfeiting, the appetite may sicken and thus die. That melody again! It had a dying cadence. Oh, it came over my ear like the sweet sound that whispers upon a bed of violets, thieving and granting fragrance. Enough; no more. It is not as sweet now as it was before.","If music is the nourishment of love, play on. Let me have a surfeit of it, that, surfeiting, the longing may become sick and so perish. That note again! It had a dying fall. Ah, it came over my ear like the sweet murmur that breathes upon a bank of violets, stealing and giving scent. Enough; no more. It is not so sweet now as it was before.","If music be the sustenance of love, continue. Provide me with an overabundance of it, that, surfeiting, the craving may grow ill and thus perish. That tune again! It had a dying fall. Oh, it came over my ear like the gentle sound that whispers upon a bed of violets, pilfering and granting fragrance. Enough; no more. It is not as delightful now as it was before."
"Twelfth Night, or What You Will","If music be the food of love, play on. Give me excess of it, that, surfeiting, the appetite may sicken and so die. That strain again! It had a dying fall. O, it came o'er my ear like the sweet sound that breathes upon a bank of violets, stealing and giving odor. Enough; no more.'Tis not so sweet now as it was before.","If music be the nourishment of affection, play on. Overwhelm me with it, that, in glutting, my desire may grow weary and fade away. That tune again! It had a melancholy descent. Oh, it came over my ear like the gentle sound that wafts over a bed of violets, purloining and bestowing fragrance. Enough; no more. ’Tis not as delightful now as it was before.","If music be the sustenance of love, continue. Grant me abundance of it, that, in overindulgence, the desire may languish and thus perish. That melody once more! It had a poignant cadence. Oh, it came over my ear like the tender sound that whispers upon a bank of violets, pilfering and bestowing aroma. Enough; no more. ’Tis not as exquisite now as it was before.","If music be the nourishment of affection, play on. Let me have an excess of it, that, in surfeiting, the craving may grow sick and so perish. That melody again! It had a languorous descent. Ah, it struck my ear like the gentle sound that breathes upon a bank of violets, purloining and bestowing fragrance. Enough; no more. ’Tis not as pleasing now as it was before.","If music be the sustenance of love, then play on. Give me an excess of it, that, in surfeiting, the desire may sicken and so perish. That strain again! It had a dying fall. Oh, it came over my ear like the mournful sound that breathes upon a bank of violets, stealing and giving odor. Enough; no more. ’Tis not as sweet now as it was before.","If music be the nourishment of love, play on. Give me a surfeit of it, that, gorged, the appetite may sicken and die. That tune again! It had a somber fall. Oh, it came over my ear like the sweet sound that drifts upon a bank of violets, stealing and giving scent. Enough; no more. It is not so sweet now as it was before.","If music be the sustenance of love, do continue. Give me an excess of it, that, in overabundance, the desire may grow weary and thus expire. That tune once more! It had a languid descent. Oh, it came over my ear like the delicate sound that breathes upon a bank of violets, pilfering and dispensing fragrance. Enough; no more. It is not as delightful now as it was before.","If music be the food of love, keep playing. Give me more than enough of it, so that, overindulging, the craving may sicken and fade away. That melody again! It had a bittersweet descent. Oh, it struck my ear like the gentle sound that wafts over a bed of violets, stealing and giving fragrance. That’s enough; no more. It doesn’t seem as sweet now as it did before.","If music be the sustenance of love, continue. Grant me abundance of it, that, in overindulgence, the desire may languish and thus perish. That melody once more! It had a poignant cadence. Oh, it came over my ear like the tender sound that whispers upon a bank of violets, pilfering and bestowing aroma. Enough; no more. ’Tis not as exquisite now as it was before.","If music be the nourishment of love, keep playing. Give me an abundance of it, that, in surfeiting, the desire may sicken and die. That melody again! It had a downward drift. Oh, it came over my ear like the gentle sound that wafts over a bank of violets, stealing and giving fragrance. Enough; no more. It doesn’t seem as sweet now as it did before."
